v8-version,5,1,281,59,0
code-creation,Stub,3,0x2b515b206000,392,"CEntryStub"
code-creation,Stub,3,0x2b515b2061a0,577,"CEntryStub"
code-creation,Stub,3,0x2b515b206400,168,"StoreBufferOverflowStub"
code-creation,Stub,3,0x2b515b2064c0,388,"StoreBufferOverflowStub"
code-creation,Stub,3,0x2b515b206660,116,"StubFailureTrampolineStub"
code-creation,Stub,3,0x2b515b2066e0,117,"StubFailureTrampolineStub"
code-creation,Stub,3,0x2b515b206760,523,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,3,0x2b515b206980,487,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,3,0x2b515b206b80,535,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,3,0x2b515b206da0,499,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,3,0x2b515b206fa0,475,"ArrayNoArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,3,0x2b515b207180,475,"ArrayNoArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,3,0x2b515b207360,499,"ArrayNoArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,3,0x2b515b207560,499,"ArrayNoArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,3,0x2b515b207760,2425,"RecordWriteStub"
code-creation,Stub,3,0x2b515b2080e0,758,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,3,0x2b515b2083e0,559,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,3,0x2b515b208620,770,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,3,0x2b515b208940,571,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,3,0x2b515b208b80,575,"ArraySingleArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,3,0x2b515b208dc0,575,"ArraySingleArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,3,0x2b515b209000,571,"ArraySingleArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,3,0x2b515b209240,571,"ArraySingleArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,3,0x2b515b209480,2434,"RecordWriteStub"
code-creation,Stub,3,0x2b515b209e20,726,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,3,0x2b515b20a100,527,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,3,0x2b515b20a320,734,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,3,0x2b515b20a600,539,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,3,0x2b515b20a820,551,"ArrayNArgumentsConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,3,0x2b515b20aa60,551,"ArrayNArgumentsConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,3,0x2b515b20aca0,487,"ArrayNArgumentsConstructorStub_FAST_ELEMENTS"
code-creation,Stub,3,0x2b515b20aea0,487,"ArrayNArgumentsConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,3,0x2b515b20b0a0,2421,"RecordWriteStub"
code-creation,Stub,3,0x2b515b20ba20,2380,"RecordWriteStub"
code-creation,Stub,3,0x2b515b20c380,519,"CreateAllocationSiteStub"
code-creation,Stub,3,0x2b515b20c5a0,2422,"RecordWriteStub"
code-creation,Stub,3,0x2b515b20cf20,2376,"RecordWriteStub"
code-creation,Stub,3,0x2b515b20d880,415,"CreateWeakCellStub"
code-creation,Stub,15,0x2b515b20da20,151,"BinaryOpICStub(BIT_OR:None*None->None)"
code-creation,Stub,15,0x2b515b20dac0,151,"BinaryOpICStub(BIT_XOR:None*None->None)"
code-creation,Stub,15,0x2b515b20db60,151,"BinaryOpICStub(BIT_AND:None*None->None)"
code-creation,Stub,15,0x2b515b20dc00,151,"BinaryOpICStub(SHL:None*None->None)"
code-creation,Stub,15,0x2b515b20dca0,151,"BinaryOpICStub(SAR:None*None->None)"
code-creation,Stub,15,0x2b515b20dd40,151,"BinaryOpICStub(SHR:None*None->None)"
code-creation,Stub,15,0x2b515b20dde0,151,"BinaryOpICStub(ROR:None*None->None)"
code-creation,Stub,15,0x2b515b20de80,151,"BinaryOpICStub(ADD:None*None->None)"
code-creation,Stub,15,0x2b515b20df20,151,"BinaryOpICStub(SUB:None*None->None)"
code-creation,Stub,15,0x2b515b20dfc0,151,"BinaryOpICStub(MUL:None*None->None)"
code-creation,Stub,15,0x2b515b20e060,151,"BinaryOpICStub(DIV:None*None->None)"
code-creation,Stub,15,0x2b515b20e100,151,"BinaryOpICStub(MOD:None*None->None)"
code-creation,Stub,15,0x2b515b20e1a0,224,"BinaryOpICStub(ADD:Int32*Int32->Int32)"
code-creation,Stub,15,0x2b515b20e280,403,"BinaryOpICStub(ADD:Int32*Int32->Number)"
code-creation,Stub,15,0x2b515b20e420,427,"BinaryOpICStub(ADD:Int32*Number->Number)"
code-creation,Stub,15,0x2b515b20e5e0,224,"BinaryOpICStub(ADD:Int32*Smi->Int32)"
code-creation,Stub,15,0x2b515b20e6c0,427,"BinaryOpICStub(ADD:Number*Int32->Number)"
code-creation,Stub,15,0x2b515b20e880,451,"BinaryOpICStub(ADD:Number*Number->Number)"
code-creation,Stub,15,0x2b515b20ea60,427,"BinaryOpICStub(ADD:Number*Smi->Number)"
code-creation,Stub,15,0x2b515b20ec20,224,"BinaryOpICStub(ADD:Smi*Int32->Int32)"
code-creation,Stub,15,0x2b515b20ed00,403,"BinaryOpICStub(ADD:Smi*Int32->Number)"
code-creation,Stub,15,0x2b515b20eea0,427,"BinaryOpICStub(ADD:Smi*Number->Number)"
code-creation,Stub,15,0x2b515b20f060,224,"BinaryOpICStub(ADD:Smi*Smi->Int32)"
code-creation,Stub,15,0x2b515b20f140,224,"BinaryOpICStub(ADD:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b20f220,204,"BinaryOpICStub(BIT_AND:Int32*Int32->Int32)"
code-creation,Stub,15,0x2b515b20f300,204,"BinaryOpICStub(BIT_AND:Int32*Int32->Smi)"
code-creation,Stub,15,0x2b515b20f3e0,204,"BinaryOpICStub(BIT_AND:Int32*Smi->Int32)"
code-creation,Stub,15,0x2b515b20f4c0,204,"BinaryOpICStub(BIT_AND:Int32*Smi->Smi)"
code-creation,Stub,3,0x2b515b20f5a0,184,"DoubleToIStub"
code-creation,Stub,15,0x2b515b20f660,320,"BinaryOpICStub(BIT_AND:Number*Int32->Int32)"
code-creation,Stub,15,0x2b515b20f7a0,320,"BinaryOpICStub(BIT_AND:Number*Smi->Smi)"
code-creation,Stub,15,0x2b515b20f8e0,204,"BinaryOpICStub(BIT_AND:Smi*Int32->Int32)"
code-creation,Stub,15,0x2b515b20f9c0,204,"BinaryOpICStub(BIT_AND:Smi*Int32->Smi)"
code-creation,Stub,15,0x2b515b20faa0,320,"BinaryOpICStub(BIT_AND:Smi*Number->Smi)"
code-creation,Stub,15,0x2b515b20fbe0,204,"BinaryOpICStub(BIT_AND:Smi*Smi->Smi)"
