v8-version,5,8,283,38,0
code-creation,Stub,3,0x1efae6784000,382,"CEntryStub"
code-creation,Builtin,5,0x1efae6784180,121,"Abort"
code-creation,Builtin,5,0x1efae6784200,197,"MakeQuadragenarianCodeYoungAgain"
code-creation,Builtin,5,0x1efae67842e0,197,"MakeQuinquagenarianCodeYoungAgain"
code-creation,Builtin,5,0x1efae67843c0,197,"MakeSexagenarianCodeYoungAgain"
code-creation,Builtin,5,0x1efae67844a0,197,"MakeSeptuagenarianCodeYoungAgain"
code-creation,Builtin,5,0x1efae6784580,197,"MakeOctogenarianCodeYoungAgain"
code-creation,Stub,3,0x1efae6784660,168,"StoreBufferOverflowStub"
code-creation,Stub,3,0x1efae6784720,1358,"RecordWriteStub"
code-creation,Stub,3,0x1efae6784c80,1386,"RecordWriteStub"
code-creation,Builtin,5,0x1efae6785200,653,"CompileLazy"
code-creation,Stub,3,0x1efae67854a0,388,"StoreBufferOverflowStub"
code-creation,Stub,3,0x1efae6785640,2250,"RecordWriteStub"
code-creation,Builtin,5,0x1efae6785f20,467,"ToObject"
code-creation,Builtin,5,0x1efae6786100,674,"FastNewObject"
code-creation,Builtin,5,0x1efae67863c0,1843,"HasProperty"
code-creation,Builtin,5,0x1efae6786b00,327,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,0x1efae6786c60,286,"CallFunction_ReceiverIsNullOrUndefined"
code-creation,Builtin,5,0x1efae6786d80,353,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0x1efae6786f00,378,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,0x1efae6787080,394,"TailCallFunction_ReceiverIsNullOrUndefined"
code-creation,Builtin,5,0x1efae6787220,461,"TailCallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0x1efae6787400,486,"TailCallFunction_ReceiverIsAny"
code-creation,Builtin,5,0x1efae6787600,243,"CallBoundFunction"
code-creation,Builtin,5,0x1efae6787700,351,"TailCallBoundFunction"
code-creation,Builtin,5,0x1efae6787860,238,"Call_ReceiverIsNullOrUndefined"
code-creation,Builtin,5,0x1efae6787960,238,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0x1efae6787a60,238,"Call_ReceiverIsAny"
code-creation,Builtin,5,0x1efae6787b60,346,"TailCall_ReceiverIsNullOrUndefined"
code-creation,Builtin,5,0x1efae6787cc0,346,"TailCall_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0x1efae6787e20,346,"TailCall_ReceiverIsAny"
code-creation,Builtin,5,0x1efae6787f80,430,"CallWithSpread"
code-creation,Builtin,5,0x1efae6788140,197,"CallForwardVarargs"
code-creation,Builtin,5,0x1efae6788220,197,"CallFunctionForwardVarargs"
code-creation,Builtin,5,0x1efae6788300,114,"ConstructFunction"
code-creation,Builtin,5,0x1efae6788380,243,"ConstructBoundFunction"
code-creation,Builtin,5,0x1efae6788480,139,"ConstructedNonConstructable"
code-creation,Builtin,5,0x1efae6788520,121,"ConstructProxy"
code-creation,Builtin,5,0x1efae67885a0,168,"Construct"
code-creation,Builtin,5,0x1efae6788660,426,"ConstructWithSpread"
code-creation,Builtin,5,0x1efae6788820,244,"JSConstructStubApi"
code-creation,Builtin,5,0x1efae6788920,293,"JSConstructStubGeneric"
code-creation,Builtin,5,0x1efae6788a60,244,"JSBuiltinsConstructStub"
code-creation,Builtin,5,0x1efae6788b60,291,"JSBuiltinsConstructStubForDerived"
code-creation,Builtin,5,0x1efae6788ca0,507,"FastNewClosure"
code-creation,Builtin,5,0x1efae6788ea0,335,"FastNewFunctionContextEval"
code-creation,Builtin,5,0x1efae6789000,335,"FastNewFunctionContextFunction"
code-creation,Stub,3,0x1efae6789160,2254,"RecordWriteStub"
code-creation,Stub,3,0x1efae6789a40,2280,"RecordWriteStub"
code-creation,Builtin,5,0x1efae678a340,741,"FastNewStrictArguments"
code-creation,Stub,3,0x1efae678a640,2250,"RecordWriteStub"
code-creation,Stub,3,0x1efae678af20,2283,"RecordWriteStub"
code-creation,Stub,3,0x1efae678b820,2291,"RecordWriteStub"
code-creation,Builtin,5,0x1efae678c120,1336,"FastNewSloppyArguments"
code-creation,Stub,3,0x1efae678c660,2253,"RecordWriteStub"
code-creation,Builtin,5,0x1efae678cf40,777,"FastNewRestParameter"
code-creation,Builtin,5,0x1efae678d260,354,"FastCloneRegExp"
code-creation,Stub,3,0x1efae678d3e0,2254,"RecordWriteStub"
code-creation,Stub,3,0x1efae678dcc0,982,"RecordWriteStub"
code-creation,Builtin,5,0x1efae678e0a0,1248,"FastCloneShallowArrayTrack"
code-creation,Stub,3,0x1efae678e580,2296,"RecordWriteStub"
code-creation,Stub,3,0x1efae678ee80,980,"RecordWriteStub"
code-creation,Builtin,5,0x1efae678f260,1124,"FastCloneShallowArrayDontTrack"
code-creation,Builtin,5,0x1efae678f6e0,423,"FastCloneShallowObject0"
code-creation,Builtin,5,0x1efae678f8a0,423,"FastCloneShallowObject1"
code-creation,Builtin,5,0x1efae678fa60,423,"FastCloneShallowObject2"
code-creation,Builtin,5,0x1efae678fc20,423,"FastCloneShallowObject3"
code-creation,Builtin,5,0x1efae678fde0,423,"FastCloneShallowObject4"
code-creation,Builtin,5,0x1efae678ffa0,423,"FastCloneShallowObject5"
code-creation,Builtin,5,0x1efae6790160,423,"FastCloneShallowObject6"
code-creation,Builtin,5,0x1efae6790320,404,"Apply"
code-creation,Builtin,5,0x1efae67904c0,218,"JSEntryTrampoline"
code-creation,Builtin,5,0x1efae67905a0,218,"JSConstructEntryTrampoline"
code-creation,Stub,3,0x1efae6790680,1391,"RecordWriteStub"
code-creation,Builtin,5,0x1efae6790c00,327,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,0x1efae6790d60,113,"InterruptCheck"
code-creation,Builtin,5,0x1efae6790de0,113,"StackCheck"
code-creation,Stub,3,0x1efae6790e60,2292,"RecordWriteStub"
code-creation,Builtin,5,0x1efae6791760,828,"StringCharAt"
code-creation,Builtin,5,0x1efae6791aa0,398,"StringCharCodeAt"
code-creation,Builtin,5,0x1efae6791c40,464,"StringEqual"
code-creation,Builtin,5,0x1efae6791e20,460,"StringGreaterThan"
